EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-20 07:00:00-05:00,-1.48,-1.42,3.99
2022-04-21 07:00:00-04:00,-2.41,-2.32,3.52
2022-07-21 07:00:00-04:00,0.74,0.76,2.36
2022-10-20 07:00:00-04:00,0.56,0.69,22.49
2023-01-26 07:00:00-05:00,1.08,1.17,8.62
2023-04-27 07:00:00-04:00,0.03,0.05,80.7
2023-07-20 07:00:00-04:00,1.59,1.92,20.43
2023-10-19 07:00:00-04:00,0.25,0.38,50.51
2024-01-25 07:00:00-05:00,0.08,0.29,265.56
2024-04-25 07:00:00-04:00,-0.29,-0.34,-16.81
2024-07-25 07:00:00-04:00,1.05,1.01,-3.99
2024-10-24 07:00:00-04:00,0.25,-0.23,-191.09
2025-01-23 07:00:00-05:00,0.6,0.84,40.0
2025-04-24 07:00:00-04:00,-0.67,-0.59,11.73
2025-07-24 07:00:00-04:00,0.78,0.91,16.67
2025-10-23 07:00:00-04:00,-0.28,-0.17,38.21
