EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-27 16:00:00-05:00,1.89,2.1,11.2
2022-04-28 16:00:00-04:00,1.43,1.52,6.48
2022-07-28 16:00:00-04:00,1.15,1.2,3.93
2022-10-27 16:00:00-04:00,1.27,1.29,1.44
2023-02-02 16:00:00-05:00,1.95,1.88,-3.78
2023-05-04 16:00:00-04:00,1.43,1.52,6.37
2023-08-03 16:00:00-04:00,1.19,1.26,5.66
2023-11-02 16:00:00-04:00,1.39,1.46,4.93
2024-02-01 16:00:00-05:00,2.11,2.18,3.55
2024-05-02 16:00:00-04:00,1.5,1.53,2.05
2024-08-01 16:00:00-04:00,1.34,1.4,4.36
2024-10-31 16:00:00-04:00,0.95,0.97,2.48
2025-01-30 16:00:00-05:00,2.34,2.4,2.52
2025-05-01 16:00:00-04:00,1.62,1.65,1.69
2025-07-31 16:00:00-04:00,1.43,1.57,10.12
2025-10-30 16:00:00-04:00,1.77,1.85,4.52
