EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-14 16:00:00-05:00,1.97,2.07,4.97
2022-05-23 16:00:00-04:00,3.59,3.57,-0.45
2022-08-23 16:00:00-04:00,3.75,3.74,-0.39
2022-11-15 16:00:00-05:00,3.34,2.84,-14.89
2023-02-28 06:00:00-05:00,2.42,2.88,18.8
2023-05-31 06:00:00-04:00,2.56,0.72,-71.93
2023-08-23 06:00:00-04:00,1.67,1.43,-14.16
2023-11-15 06:00:00-05:00,1.45,-0.82,-156.56
2024-02-28 06:00:00-05:00,0.22,-0.59,-371.86
2024-05-29 06:00:00-04:00,0.63,0.67,6.46
2024-08-22 06:00:00-04:00,0.94,0.75,-19.94
2024-11-14 06:00:00-05:00,0.44,-0.04,-109.08
2025-02-26 06:00:00-05:00,-1.23,-1.18,4.17
2025-05-22 06:00:00-04:00,-0.69,-0.22,68.06
2025-08-14 06:00:00-04:00,0.58,0.69,18.3
2025-10-30 06:00:00-04:00,0.75,-0.02,-102.66
