EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-18 17:00:00-05:00,0.42,0.46,9.56
2021-05-10 16:00:00-04:00,0.75,0.91,21.66
2021-08-05 17:00:00-04:00,0.88,0.8,-8.75
2021-11-03 16:00:00-04:00,1.63,1.65,1.44
2022-02-17 16:00:00-05:00,0.49,0.48,-1.61
2022-05-05 17:00:00-04:00,0.98,0.97,-1.12
2022-08-04 16:00:00-04:00,0.82,0.8,-2.76
2022-11-03 16:00:00-04:00,1.74,1.74,0.19
2023-02-15 16:00:00-05:00,0.57,0.63,10.83
2023-05-04 16:00:00-04:00,0.95,1.0,5.54
2023-08-02 16:00:00-04:00,0.8,0.9,12.0
2023-11-08 16:00:00-05:00,1.82,1.87,2.55
2024-02-22 16:00:00-05:00,0.61,0.6,-1.52
2024-05-02 17:00:00-04:00,1.08,0.98,-9.22
2024-08-01 16:00:00-04:00,0.93,0.97,4.18
2024-11-06 16:00:00-05:00,1.92,1.87,-2.39
2025-02-13 16:00:00-05:00,0.8,0.77,-3.21
2025-05-01 16:00:00-04:00,1.04,1.07,2.75
2025-07-31 16:00:00-04:00,1.0,1.01,1.42
2025-11-05 16:00:00-05:00,2.11,2.35,11.35
