EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-03 16:00:00-05:00,1.04,1.05,0.49
2021-04-28 16:00:00-04:00,1.21,1.51,24.57
2021-07-28 16:00:00-04:00,1.28,1.59,24.53
2021-10-27 16:00:00-04:00,1.32,1.56,18.25
2022-02-02 16:00:00-05:00,1.26,1.33,5.4
2022-04-27 16:00:00-04:00,1.37,1.42,3.96
2022-08-01 16:00:00-04:00,1.28,1.46,14.21
2022-10-31 16:00:00-04:00,1.21,1.15,-5.29
2023-02-01 16:00:00-05:00,1.21,1.29,6.44
2023-04-26 16:00:00-04:00,1.4,1.55,10.74
2023-08-01 16:00:00-04:00,1.44,1.58,10.07
2023-11-01 16:00:00-04:00,1.49,1.84,23.64
2024-01-31 16:00:00-05:00,1.45,1.25,-14.04
2024-05-01 16:00:00-04:00,1.58,1.66,5.17
2024-07-31 17:00:00-04:00,1.6,1.83,14.51
2024-10-30 16:00:00-04:00,1.68,2.16,28.3
2025-02-05 17:00:00-05:00,1.62,1.56,-3.53
2025-04-30 16:00:00-04:00,1.67,1.66,-0.82
2025-08-05 16:00:00-04:00,1.71,1.78,4.35
2025-11-04 16:00:00-05:00,1.78,2.49,40.16
