EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-16 16:00:00-05:00,1.18,1.58,33.44
2022-05-03 16:00:00-04:00,1.17,1.3,11.23
2022-08-08 16:00:00-04:00,1.14,1.19,3.94
2022-11-01 16:00:00-04:00,0.52,0.66,26.76
2023-02-15 16:00:00-05:00,1.28,1.36,6.28
2023-05-04 16:00:00-04:00,1.42,1.63,14.47
2023-08-01 16:00:00-04:00,1.58,1.75,10.85
2023-11-01 17:00:00-04:00,1.48,1.61,8.66
2024-02-13 16:00:00-05:00,1.64,1.79,9.19
2024-05-01 16:00:00-04:00,1.66,1.77,6.68
2024-07-31 16:00:00-04:00,1.3,1.16,-10.88
2024-11-04 16:00:00-05:00,1.1,1.23,12.15
2025-02-11 16:00:00-05:00,1.23,1.3,5.97
2025-05-01 16:00:00-04:00,0.99,1.17,17.65
2025-08-06 16:00:00-04:00,1.6,1.81,13.25
2025-11-04 16:00:00-05:00,1.71,2.2,28.5
