EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-03 16:00:00-05:00,3.82,5.87,53.62
2021-05-05 16:00:00-04:00,3.94,6.11,55.07
2021-08-04 16:00:00-04:00,3.17,3.79,19.46
2021-11-03 16:00:00-04:00,1.74,0.73,-58.07
2022-02-02 16:00:00-05:00,2.77,2.75,-0.83
2022-05-04 16:00:00-04:00,2.95,2.58,-12.57
2022-08-03 16:00:00-04:00,-1.15,-0.76,34.19
2022-11-02 16:00:00-04:00,-1.59,-1.56,1.74
2023-02-01 16:00:00-05:00,-1.36,-1.36,0.07
2023-05-03 16:00:00-04:00,-1.01,-1.3,-28.27
2023-08-01 16:00:00-04:00,-3.96,-4.42,-11.56
2023-11-01 16:00:00-04:00,0.49,0.81,63.67
2024-02-07 16:00:00-05:00,3.94,5.82,47.88
2024-05-01 16:00:00-04:00,3.94,5.13,30.29
2024-07-31 16:00:00-04:00,0.36,1.61,346.5
2024-10-30 16:00:00-04:00,1.93,4.39,128.05
2025-02-05 16:00:00-05:00,6.28,7.67,22.07
2025-04-30 16:00:00-04:00,2.53,3.53,39.33
2025-07-30 16:00:00-04:00,3.87,7.76,100.72
2025-11-05 16:00:00-05:00,7.54,11.17,48.08
