EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-26 16:00:00-05:00,5.73,6.15,7.38
2022-04-25 16:00:00-04:00,5.9,5.98,1.4
2022-07-26 16:00:00-04:00,5.55,5.81,4.65
2022-10-25 16:00:00-04:00,5.85,5.24,-10.39
2023-01-25 16:00:00-05:00,6.48,6.94,7.13
2023-04-24 16:00:00-04:00,7.2,7.25,0.64
2023-07-26 16:00:00-04:00,7.39,7.44,0.65
2023-10-25 16:00:00-04:00,7.6,7.68,1.05
2024-01-24 16:00:00-05:00,7.7,7.2,-6.44
2024-04-22 16:00:00-04:00,8.2,8.39,2.32
2024-07-24 16:00:00-04:00,8.53,8.53,0.03
2024-10-23 16:00:00-04:00,8.92,8.1,-9.16
2025-01-29 16:00:00-05:00,9.05,9.36,3.47
2025-04-24 07:00:00-04:00,9.08,9.5,4.58
2025-07-24 08:00:00-04:00,9.0,9.11,1.17
2025-10-30 07:00:00-04:00,9.76,9.87,1.12
