EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-24 17:00:00-05:00,-0.13,-0.05,61.14
2021-05-05 12:00:00-04:00,0.71,0.91,28.54
2021-08-04 16:00:00-04:00,0.56,0.7,25.36
2021-11-03 16:00:00-04:00,0.91,0.98,7.86
2022-02-21 17:00:00-05:00,1.46,1.29,-11.66
2022-05-04 13:00:00-04:00,2.09,1.92,-8.19
2022-08-03 19:00:00-04:00,2.35,2.37,1.04
2022-11-03 09:00:00-04:00,1.76,1.97,12.14
2023-02-23 10:00:00-05:00,1.33,1.48,11.07
2023-05-04 09:00:00-04:00,0.97,1.19,22.23
2023-08-02 15:00:00-04:00,0.72,0.85,18.87
2023-11-01 13:00:00-04:00,1.06,1.33,25.08
2024-02-21 12:00:00-05:00,1.33,1.15,-13.71
2024-05-01 12:00:00-04:00,0.93,0.78,-16.06
2024-07-30 20:00:00-04:00,0.93,1.17,26.03
2024-11-07 06:00:00-05:00,0.99,1.0,1.46
2025-02-25 19:00:00-05:00,0.95,0.79,-16.68
2025-05-06 20:00:00-04:00,0.82,1.06,29.18
2025-08-05 20:00:00-04:00,0.52,1.67,220.64
2025-11-05 17:00:00-05:00,0.79,0.93,17.59
