EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-25 07:00:00-05:00,1.84,2.18,18.31
2022-04-22 07:00:00-04:00,2.45,2.73,11.46
2022-07-22 07:00:00-04:00,2.4,2.57,7.08
2022-10-21 13:00:00-04:00,2.41,2.47,2.34
2023-01-27 07:00:00-05:00,2.23,2.07,-7.25
2023-04-20 07:00:00-04:00,2.67,2.4,-10.13
2023-07-21 07:00:00-04:00,2.81,2.89,2.97
2023-10-20 07:00:00-04:00,2.94,3.3,12.08
2024-01-26 07:00:00-05:00,2.63,2.62,-0.35
2024-04-19 10:00:00-04:00,2.96,3.33,12.66
2024-07-19 07:00:00-04:00,3.26,4.15,27.11
2024-10-18 07:00:00-04:00,3.28,3.49,6.49
2025-01-24 07:00:00-05:00,3.03,3.04,0.17
2025-04-17 07:00:00-04:00,3.47,3.64,4.8
2025-07-18 07:00:00-04:00,3.88,4.08,5.09
2025-10-17 07:00:00-04:00,4.0,4.14,3.61
