EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-01 06:00:00-05:00,17.6,22.3,26.69
2022-05-24 06:00:00-04:00,25.97,29.03,11.8
2022-09-19 06:00:00-04:00,38.47,40.51,5.29
2022-12-06 06:00:00-05:00,25.31,27.45,8.46
2023-02-28 06:00:00-05:00,21.64,24.64,13.87
2023-06-09 16:00:00-04:00,33.5,34.12,1.85
2023-09-19 06:00:00-04:00,44.89,46.46,3.49
2023-12-05 06:00:00-05:00,31.61,32.55,2.96
2024-02-27 06:00:00-05:00,26.62,28.89,8.53
2024-05-21 06:00:00-04:00,36.01,36.69,1.89
2024-09-24 06:00:00-04:00,53.41,51.58,-3.42
2024-12-10 06:00:00-05:00,33.59,32.52,-3.19
2025-03-04 06:00:00-05:00,28.97,28.29,-2.35
2025-05-27 06:00:00-04:00,37.01,35.36,-4.46
2025-09-23 06:00:00-04:00,50.68,48.71,-3.88
2025-12-09 08:00:00-05:00,32.69,,
