EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-01 08:00:00-05:00,0.89,1.08,21.69
2022-05-03 08:00:00-04:00,0.81,0.96,17.82
2022-07-28 08:00:00-04:00,0.73,0.82,12.22
2022-11-01 08:00:00-04:00,0.67,0.78,16.47
2023-01-30 08:00:00-05:00,0.54,0.51,-4.96
2023-05-01 08:00:00-04:00,0.56,0.61,8.29
2023-07-28 08:00:00-04:00,0.59,0.63,5.9
2023-10-31 08:00:00-04:00,0.59,0.84,42.35
2024-01-29 08:00:00-05:00,0.58,0.65,11.8
2024-04-29 08:00:00-04:00,0.57,0.56,-1.32
2024-07-26 08:00:00-04:00,0.57,0.6,5.43
2024-11-04 08:00:00-05:00,0.59,0.59,-0.72
2025-01-31 08:00:00-05:00,0.53,0.59,11.43
2025-05-02 08:00:00-04:00,0.47,0.47,-0.62
2025-08-01 08:00:00-04:00,0.5,0.49,-2.31
2025-11-07 08:00:00-05:00,0.59,0.67,14.03
