EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-24 16:00:00-05:00,-4.22,-0.57,86.5
2021-05-05 16:00:00-04:00,-6.11,-5.26,13.87
2021-08-04 16:00:00-04:00,-2.15,-2.55,-18.35
2021-11-03 16:00:00-04:00,33.03,37.7,14.14
2022-02-23 16:00:00-05:00,13.52,15.83,17.08
2022-05-04 16:00:00-04:00,1.33,3.9,193.84
2022-08-03 16:00:00-04:00,17.67,19.08,7.99
2022-11-02 16:00:00-04:00,49.85,53.03,6.38
2023-02-23 16:00:00-05:00,22.12,24.74,11.83
2023-05-04 16:00:00-04:00,10.74,11.6,8.0
2023-08-03 16:00:00-04:00,29.16,37.62,29.01
2023-11-02 16:00:00-04:00,67.92,72.32,6.49
2024-02-22 16:00:00-05:00,30.05,32.0,6.48
2024-05-02 16:00:00-04:00,14.14,20.39,44.24
2024-08-01 16:00:00-04:00,38.7,41.9,8.28
2024-10-30 16:00:00-04:00,77.38,83.89,8.42
2025-02-20 16:00:00-05:00,36.05,41.55,15.24
2025-04-29 16:00:00-04:00,17.57,24.81,41.23
2025-07-29 16:00:00-04:00,50.4,55.4,9.93
2025-10-28 16:00:00-04:00,95.92,99.5,3.74
