EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-07-15 07:00:00-04:00,8.02,7.36,-8.27
2022-10-13 07:00:00-04:00,7.06,9.55,35.17
2023-01-13 08:00:00-05:00,8.1,8.93,10.31
2023-04-14 06:00:00-04:00,7.73,7.93,2.63
2023-07-14 06:00:00-04:00,8.47,9.28,9.6
2023-10-13 06:00:00-04:00,8.34,10.91,30.76
2024-01-12 05:00:00-05:00,8.88,9.66,8.79
2024-04-12 06:00:00-04:00,9.39,9.81,4.47
2024-07-15 06:00:00-04:00,9.96,10.36,3.99
2024-10-11 06:00:00-04:00,10.31,11.46,11.11
2025-01-15 05:00:00-05:00,11.22,11.93,6.36
2025-04-11 06:00:00-04:00,10.13,11.3,11.59
2025-07-15 06:00:00-04:00,10.81,12.05,11.47
2025-10-14 06:00:00-04:00,11.34,11.55,1.87
