EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-22 09:00:00-04:00,-1.25,-1.66,-32.48
2022-06-24 09:00:00-04:00,-1.14,-1.64,-43.13
2022-09-30 09:00:00-04:00,-0.14,-0.58,-307.09
2022-12-21 09:00:00-05:00,-0.89,-0.85,3.96
2023-03-27 09:00:00-04:00,-0.6,-0.55,8.83
2023-06-26 09:00:00-04:00,-0.34,-0.31,8.14
2023-09-29 09:00:00-04:00,0.74,0.86,16.06
2023-12-21 09:00:00-05:00,-0.13,-0.07,44.27
2024-03-27 09:00:00-04:00,-0.18,-0.14,22.13
2024-06-25 09:00:00-04:00,-0.02,0.11,692.67
2024-09-30 09:00:00-04:00,1.15,1.27,10.0
2024-12-20 09:00:00-05:00,0.07,0.14,93.99
2025-03-21 09:00:00-04:00,0.02,0.13,485.06
2025-06-24 09:00:00-04:00,0.25,0.42,71.16
2025-09-29 09:00:00-04:00,1.31,1.33,1.73
2025-12-18 08:00:00-05:00,0.25,,
