EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-17 16:00:00-05:00,0.12,0.4,242.76
2021-05-05 16:00:00-04:00,0.56,0.7,25.62
2021-08-09 16:00:00-04:00,1.58,1.15,-27.3
2021-11-03 19:00:00-04:00,0.95,0.68,-28.48
2022-02-15 16:00:00-05:00,3.45,3.53,2.14
2022-05-04 16:00:00-04:00,4.39,4.11,-6.39
2022-08-01 16:00:00-04:00,5.79,6.15,6.15
2022-11-02 16:00:00-04:00,3.35,2.77,-17.47
2023-02-15 16:00:00-05:00,4.32,4.35,0.77
2023-05-01 16:00:00-04:00,2.54,2.55,0.45
2023-08-02 16:00:00-04:00,2.1,2.7,28.69
2023-11-01 16:00:00-04:00,1.01,1.14,12.62
2024-02-14 16:00:00-05:00,1.58,1.44,-8.63
2024-05-01 17:00:00-04:00,1.5,0.91,-39.53
2024-08-07 12:00:00-04:00,1.81,2.3,26.94
2024-10-30 16:00:00-04:00,1.16,1.55,34.29
2025-02-19 16:00:00-05:00,1.51,1.79,18.13
2025-05-07 16:00:00-04:00,1.5,1.98,31.56
2025-08-06 16:00:00-04:00,2.47,2.39,-3.43
2025-11-05 16:00:00-05:00,2.17,2.17,-0.21
