EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-29 06:00:00-05:00,0.52,0.53,0.97
2021-04-29 06:00:00-04:00,0.81,0.83,2.91
2021-07-30 06:00:00-04:00,0.7,0.76,8.96
2021-10-29 06:00:00-04:00,0.71,0.8,12.94
2022-01-28 06:00:00-05:00,0.6,0.64,6.43
2022-04-28 06:00:00-04:00,0.77,0.83,7.33
2022-07-29 06:00:00-04:00,0.72,0.76,5.8
2022-10-28 06:00:00-04:00,0.65,0.76,16.33
2023-02-03 06:00:00-05:00,0.6,0.62,3.15
2023-04-27 06:00:00-04:00,0.77,0.85,11.08
2023-07-28 07:00:00-04:00,0.8,0.92,15.41
2023-11-03 06:00:00-04:00,0.69,0.74,7.55
2024-02-02 06:00:00-05:00,0.65,0.65,0.63
2024-05-02 06:00:00-04:00,0.87,0.96,10.07
2024-08-02 07:00:00-04:00,0.84,0.93,10.09
2024-11-01 06:00:00-04:00,0.68,-0.31,-145.89
2025-01-31 06:00:00-05:00,0.77,0.77,0.42
2025-05-01 07:00:00-04:00,0.9,0.91,1.42
2025-08-01 06:00:00-04:00,0.86,0.94,9.51
2025-10-31 06:00:00-04:00,0.74,0.81,9.93
