EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-03 16:00:00-05:00,0.85,0.66,-21.96
2022-05-02 16:00:00-04:00,0.96,1.31,36.28
2022-08-03 16:00:00-04:00,0.93,0.93,0.09
2022-11-01 16:00:00-04:00,0.78,0.93,19.65
2023-02-02 16:00:00-05:00,0.66,0.98,49.37
2023-05-02 16:00:00-04:00,1.22,1.51,23.37
2023-08-02 16:00:00-04:00,1.18,1.67,41.09
2023-11-01 16:00:00-04:00,-0.23,0.49,312.25
2024-02-01 16:00:00-05:00,1.1,2.16,95.83
2024-04-30 16:00:00-04:00,1.37,1.71,25.15
2024-08-01 16:00:00-04:00,1.56,1.82,16.43
2024-10-30 16:00:00-04:00,1.39,1.86,33.57
2025-02-03 16:00:00-05:00,1.4,1.55,10.68
2025-05-05 16:00:00-04:00,1.56,1.45,-6.9
2025-07-31 16:00:00-04:00,2.21,2.87,29.75
2025-11-03 16:00:00-05:00,0.78,0.85,9.23
