EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-19 07:00:00-05:00,1.58,1.66,4.9
2022-04-20 06:00:00-04:00,1.37,1.37,-0.21
2022-07-20 06:00:00-04:00,1.77,1.92,8.65
2022-10-19 06:00:00-04:00,2.57,2.6,1.11
2023-01-19 06:00:00-05:00,2.56,2.58,0.85
2023-04-20 06:00:00-04:00,2.27,2.39,5.42
2023-07-21 07:00:00-04:00,1.86,2.01,8.18
2023-10-20 06:00:00-04:00,1.7,1.84,8.33
2024-01-19 06:00:00-05:00,1.39,1.46,4.83
2024-04-18 06:00:00-04:00,1.14,1.29,12.95
2024-07-19 06:00:00-04:00,1.19,1.49,25.18
2024-10-18 06:00:00-04:00,1.16,1.37,17.82
2025-01-22 06:00:00-05:00,1.26,1.2,-4.7
2025-04-21 06:00:00-04:00,1.13,1.25,10.71
2025-07-18 06:00:00-04:00,1.22,1.3,6.0
2025-10-17 06:00:00-04:00,1.28,1.48,15.8
