EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-08 16:00:00-05:00,0.11,0.11,5.43
2022-04-26 16:00:00-04:00,0.11,0.11,1.14
2022-07-26 16:00:00-04:00,0.18,0.19,2.84
2022-10-25 16:00:00-04:00,0.18,0.19,3.48
2023-02-07 16:00:00-05:00,0.18,0.17,-6.75
2023-04-25 16:00:00-04:00,0.18,0.21,17.28
2023-07-26 16:00:00-04:00,0.25,0.25,2.98
2023-10-26 16:00:00-04:00,0.21,0.23,6.86
2024-02-06 16:00:00-05:00,0.19,0.21,6.52
2024-04-24 16:00:00-04:00,0.23,0.27,14.5
2024-07-24 16:00:00-04:00,0.32,0.34,7.04
2024-10-29 16:00:00-04:00,0.25,0.27,6.57
2025-02-04 16:00:00-05:00,0.25,0.25,1.45
2025-04-23 16:00:00-04:00,0.28,0.29,4.72
2025-07-23 16:00:00-04:00,0.33,0.33,1.26
2025-10-29 16:00:00-04:00,0.29,0.29,0.87
