EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-04 07:00:00-05:00,2.8,3.36,20.17
2021-05-04 07:00:00-04:00,3.47,4.07,17.37
2021-08-03 07:00:00-04:00,4.05,4.1,1.25
2021-11-02 07:00:00-04:00,3.89,3.69,-5.17
2022-02-03 07:00:00-05:00,3.14,2.73,-12.99
2022-05-03 07:00:00-04:00,3.53,2.92,-17.28
2022-08-02 07:00:00-04:00,4.37,4.94,12.99
2022-11-03 07:00:00-04:00,4.89,2.82,-42.29
2023-02-06 07:00:00-05:00,4.48,4.43,-1.14
2023-05-02 07:00:00-04:00,4.76,5.55,16.48
2023-08-03 07:00:00-04:00,5.22,5.18,-0.75
2023-11-02 07:00:00-04:00,4.64,4.59,-1.01
2024-02-06 07:00:00-05:00,4.5,-10.08,-324.03
2024-05-02 07:00:00-04:00,5.25,14.03,167.39
2024-08-01 07:00:00-04:00,4.76,5.26,10.4
2024-11-05 07:00:00-05:00,4.85,5.86,20.79
2025-02-04 07:00:00-05:00,4.64,3.02,-34.94
2025-05-05 07:00:00-04:00,4.85,5.96,22.97
2025-08-05 07:00:00-04:00,5.16,6.43,24.69
2025-11-06 07:00:00-05:00,4.77,3.86,-19.04
