EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-25 16:00:00-05:00,5.19,5.41,4.16
2022-04-26 16:00:00-04:00,5.46,5.62,2.91
2022-07-21 16:00:00-04:00,5.05,4.96,-1.74
2022-10-27 16:00:00-04:00,5.04,4.2,-16.71
2023-01-24 16:00:00-05:00,3.86,2.82,-26.93
2023-04-27 16:00:00-04:00,3.89,2.31,-40.56
2023-07-20 16:00:00-04:00,3.24,3.52,8.75
2023-10-26 16:00:00-04:00,3.24,4.45,37.56
2024-01-25 16:00:00-05:00,2.67,2.24,-15.96
2024-04-25 16:00:00-04:00,3.38,3.21,-4.9
2024-07-23 16:00:00-04:00,3.39,3.14,-7.4
2024-10-24 16:00:00-04:00,3.76,4.51,19.97
2025-01-21 16:00:00-05:00,2.8,3.09,10.37
2025-04-22 16:00:00-04:00,3.65,4.06,11.19
2025-07-22 16:00:00-04:00,3.7,5.48,47.99
2025-10-21 16:00:00-04:00,4.36,5.95,36.42
