EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-03 16:00:00-05:00,2.79,2.92,4.62
2022-05-26 16:00:00-04:00,3.04,3.04,0.06
2022-10-05 06:00:00-04:00,4.2,4.2,-0.08
2022-12-08 16:00:00-05:00,3.13,3.07,-1.81
2023-03-02 16:00:00-05:00,3.23,3.3,2.25
2023-06-01 06:00:00-04:00,3.19,2.93,-8.27
2023-09-26 16:00:00-04:00,4.78,4.86,1.76
2023-12-14 16:00:00-05:00,3.42,3.58,4.83
2024-03-07 16:00:00-05:00,3.61,3.92,8.51
2024-06-06 06:00:00-04:00,3.77,3.78,0.31
2024-09-26 16:00:00-04:00,5.06,5.29,4.49
2024-12-12 16:00:00-05:00,3.8,4.04,6.32
2025-03-06 16:00:00-05:00,4.1,4.02,-1.92
2025-05-29 16:00:00-04:00,4.23,4.28,1.22
2025-09-25 16:00:00-04:00,5.81,5.87,1.11
2025-12-11 16:00:00-05:00,4.29,,
