EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-09 07:00:00-05:00,0.68,0.69,0.82
2022-06-08 07:00:00-04:00,0.61,0.7,14.03
2022-09-01 07:00:00-04:00,0.56,0.56,-0.58
2022-12-07 07:00:00-05:00,0.86,1.02,18.73
2023-03-08 07:00:00-05:00,0.74,0.8,8.27
2023-06-07 07:00:00-04:00,0.65,0.68,4.74
2023-08-31 07:00:00-04:00,0.5,0.5,-0.47
2023-12-06 07:00:00-05:00,0.88,0.91,3.82
2024-03-06 07:00:00-05:00,0.77,0.8,3.94
2024-06-05 07:00:00-04:00,0.7,0.75,7.5
2024-08-29 07:00:00-04:00,0.62,0.63,1.6
2024-12-03 16:00:00-05:00,0.87,0.89,1.93
2025-03-05 07:00:00-05:00,0.72,0.74,2.28
2025-06-02 07:00:00-04:00,0.66,0.73,11.39
2025-09-03 07:00:00-04:00,0.57,0.62,9.04
2025-12-09 08:00:00-05:00,0.73,,
