EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-19 19:00:00-05:00,0.4,0.42,4.56
2022-04-20 16:00:00-04:00,0.37,0.39,4.09
2022-07-20 16:00:00-04:00,0.48,0.54,11.46
2022-10-20 16:00:00-04:00,0.49,0.52,6.39
2023-01-25 16:00:00-05:00,0.47,0.49,4.79
2023-04-20 16:00:00-04:00,0.43,0.48,12.79
2023-07-20 16:00:00-04:00,0.49,0.49,-0.73
2023-10-19 16:00:00-04:00,0.43,0.42,-1.68
2024-01-24 16:00:00-05:00,0.44,0.45,1.86
2024-04-17 16:00:00-04:00,0.45,0.46,1.88
2024-08-05 16:00:00-04:00,0.48,0.49,2.62
2024-10-16 16:00:00-04:00,0.48,0.46,-3.99
2025-01-23 16:00:00-05:00,0.42,0.38,-9.39
2025-04-16 16:00:00-04:00,0.37,0.34,-6.93
2025-07-23 16:00:00-04:00,0.42,0.44,5.39
2025-10-16 16:00:00-04:00,0.42,0.37,-12.87
