EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-29 07:00:00-05:00,0.09,-0.01,-111.36
2021-04-30 06:00:00-04:00,0.94,0.9,-4.57
2021-07-30 06:00:00-04:00,1.6,1.71,6.57
2021-10-29 06:00:00-04:00,2.19,2.96,35.04
2022-01-28 06:00:00-05:00,3.12,2.56,-18.04
2022-04-29 06:00:00-04:00,3.45,3.36,-2.68
2022-07-29 06:00:00-04:00,5.03,5.82,15.68
2022-10-28 06:00:00-04:00,4.92,5.56,13.09
2023-01-27 06:00:00-05:00,4.3,4.09,-4.82
2023-04-28 06:00:00-04:00,3.38,3.55,5.06
2023-07-23 16:00:00-04:00,2.98,3.08,3.52
2023-10-27 03:00:00-04:00,3.68,3.05,-17.07
2024-02-02 06:00:00-05:00,3.22,3.45,7.26
2024-04-26 03:00:00-04:00,2.91,2.93,0.59
2024-08-02 06:00:00-04:00,3.0,2.55,-14.9
2024-11-01 06:00:00-04:00,2.42,2.51,3.86
2025-01-31 06:00:00-05:00,2.11,2.06,-2.28
2025-05-02 06:00:00-04:00,2.15,2.18,1.31
2025-08-01 06:00:00-04:00,1.74,1.77,1.71
2025-10-31 06:00:00-04:00,1.53,1.82,18.78
