EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-15 07:00:00-05:00,1.36,2.08,53.12
2021-04-15 08:00:00-04:00,2.59,3.62,39.57
2021-07-14 08:00:00-04:00,1.96,2.85,45.05
2021-10-14 09:00:00-04:00,1.76,2.15,21.86
2022-01-14 08:00:00-05:00,1.44,1.46,1.61
2022-04-14 08:00:00-04:00,1.46,2.02,38.62
2022-07-15 08:00:00-04:00,1.68,2.19,30.16
2022-10-14 08:00:00-04:00,1.43,1.63,13.89
2023-01-13 08:00:00-05:00,1.2,1.16,-3.26
2023-04-14 09:00:00-04:00,1.68,2.19,30.09
2023-07-14 09:00:00-04:00,1.33,1.33,0.28
2023-10-12 20:00:00-04:00,1.25,1.63,30.06
2024-01-12 10:00:00-05:00,0.6,-1.16,-293.33
2024-04-12 10:00:00-04:00,1.17,1.58,35.47
2024-07-12 08:00:00-04:00,1.41,1.52,8.11
2024-10-15 08:00:00-04:00,1.31,1.51,15.16
2025-01-15 08:00:00-05:00,1.22,1.34,9.44
2025-04-15 08:00:00-04:00,1.85,1.96,6.18
2025-07-15 08:00:00-04:00,1.61,1.96,21.7
2025-10-14 08:00:00-04:00,1.72,1.86,8.0
