EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-13 06:00:00-05:00,0.15,0.22,50.15
2022-04-13 06:00:00-04:00,-1.27,-1.23,3.1
2022-07-13 06:00:00-04:00,1.72,1.44,-16.31
2022-10-13 06:00:00-04:00,1.53,1.51,-1.46
2023-01-13 06:00:00-05:00,1.32,1.48,11.93
2023-04-13 06:00:00-04:00,0.29,0.25,-13.21
2023-07-13 06:00:00-04:00,2.4,2.68,11.61
2023-10-12 06:00:00-04:00,1.95,2.03,4.32
2024-01-12 06:00:00-05:00,1.16,1.28,9.88
2024-04-10 06:00:00-04:00,0.36,0.45,24.16
2024-07-11 06:00:00-04:00,2.38,2.36,-0.78
2024-10-10 06:00:00-04:00,1.52,1.5,-1.16
2025-01-10 06:00:00-05:00,1.74,1.85,6.18
2025-04-09 06:00:00-04:00,0.39,0.46,19.14
2025-07-10 06:00:00-04:00,2.04,2.1,2.72
2025-10-09 06:00:00-04:00,1.53,1.71,11.87
