EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-18 06:00:00-05:00,2.24,2.92,30.12
2022-05-20 06:00:00-04:00,6.69,6.81,1.78
2022-08-19 06:00:00-04:00,6.68,6.16,-7.74
2022-11-23 06:00:00-05:00,7.11,7.75,9.03
2023-02-17 06:00:00-05:00,5.47,6.55,19.84
2023-05-19 06:00:00-04:00,8.47,10.1,19.25
2023-08-18 06:00:00-04:00,8.21,10.2,24.17
2023-11-22 06:00:00-05:00,7.46,8.32,11.53
2024-02-15 06:00:00-05:00,5.21,6.23,19.48
2024-05-16 06:00:00-04:00,7.92,8.53,7.75
2024-08-15 06:00:00-04:00,5.64,6.29,11.47
2024-11-21 06:00:00-05:00,3.93,4.55,15.89
2025-02-13 06:00:00-05:00,3.25,3.19,-1.81
2025-05-15 06:00:00-04:00,5.62,6.64,18.05
2025-08-14 06:00:00-04:00,4.66,4.75,1.9
2025-11-26 08:00:00-05:00,3.87,,
