EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-19 16:00:00-05:00,3.69,3.64,-1.38
2022-04-27 16:00:00-04:00,3.61,4.22,16.86
2022-07-20 17:00:00-04:00,3.77,3.96,4.96
2022-10-24 16:00:00-04:00,3.71,3.54,-4.7
2023-01-18 16:00:00-05:00,3.64,3.77,3.5
2023-04-19 16:00:00-04:00,3.91,3.58,-8.43
2023-07-19 16:00:00-04:00,3.69,3.54,-3.99
2023-10-18 16:00:00-04:00,3.17,2.59,-18.2
2024-01-17 16:00:00-05:00,2.51,1.54,-38.57
2024-04-17 16:00:00-04:00,3.0,1.1,-63.33
2024-07-17 16:00:00-04:00,3.1,6.06,95.61
2024-10-16 16:00:00-04:00,3.61,3.69,2.29
2025-01-22 16:00:00-05:00,3.31,5.11,54.42
2025-04-23 16:00:00-04:00,3.31,4.25,28.42
