EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-17 06:00:00-04:00,2.58,2.57,-0.27
2022-05-26 06:00:00-04:00,2.3,2.41,4.87
2022-08-25 06:00:00-04:00,2.93,2.98,1.78
2022-12-01 06:00:00-05:00,2.54,2.33,-8.37
2023-03-16 06:00:00-04:00,2.94,2.96,0.53
2023-06-01 06:00:00-04:00,2.39,2.34,-2.02
2023-08-31 06:00:00-04:00,2.47,2.13,-13.69
2023-12-07 06:00:00-05:00,1.21,1.26,4.37
2024-03-14 06:00:00-04:00,1.73,1.83,6.08
2024-05-30 06:00:00-04:00,1.58,1.65,4.57
2024-08-29 06:00:00-04:00,1.79,1.7,-4.79
2024-12-05 06:00:00-05:00,0.95,0.89,-6.21
2025-03-13 06:00:00-04:00,1.5,0.87,-41.96
2025-06-03 06:00:00-04:00,1.49,1.78,19.57
2025-08-28 06:00:00-04:00,1.57,1.86,18.47
2025-12-04 08:00:00-05:00,0.95,,
