EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-02 06:00:00-05:00,2.79,3.17,13.68
2022-04-26 06:00:00-04:00,3.38,4.03,19.36
2022-07-21 06:00:00-04:00,4.46,4.67,4.74
2022-11-09 06:00:00-05:00,5.09,4.67,-8.22
2023-01-24 06:00:00-05:00,2.28,2.76,21.07
2023-04-20 06:00:00-04:00,1.92,2.73,42.37
2023-07-20 10:00:00-04:00,2.79,3.9,39.71
2023-11-07 06:00:00-05:00,3.93,4.45,13.2
2024-01-23 06:00:00-05:00,2.89,2.82,-2.28
2024-04-18 06:00:00-04:00,3.05,3.52,15.24
2024-07-18 06:00:00-04:00,3.79,4.1,8.25
2024-10-29 06:00:00-04:00,4.16,3.92,-5.83
2025-01-21 06:00:00-05:00,2.37,2.61,10.03
2025-04-17 06:00:00-04:00,2.65,2.58,-2.65
2025-07-22 06:00:00-04:00,2.87,3.36,16.89
2025-10-28 06:00:00-04:00,3.29,3.04,-7.69
