EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-02 07:00:00-05:00,1.77,2.01,13.37
2022-05-26 07:00:00-04:00,1.98,2.37,19.52
2022-08-25 07:00:00-04:00,1.62,1.6,-1.26
2022-11-22 07:00:00-05:00,1.18,1.2,1.28
2023-03-01 07:00:00-05:00,2.0,2.04,1.98
2023-05-25 07:00:00-04:00,1.54,1.47,-4.3
2023-08-24 06:00:00-04:00,0.87,0.91,4.78
2023-11-29 06:00:00-05:00,1.01,0.97,-3.77
2024-03-13 06:00:00-04:00,2.65,2.55,-3.75
2024-06-05 06:00:00-04:00,1.43,1.43,0.08
2024-09-04 06:00:00-04:00,1.04,0.67,-35.55
2024-12-04 06:00:00-05:00,1.08,1.12,4.15
2025-03-26 06:00:00-04:00,2.2,2.29,4.15
2025-06-04 06:00:00-04:00,1.21,1.26,4.51
2025-09-03 06:00:00-04:00,0.41,0.77,87.65
2025-12-03 08:00:00-05:00,1.08,,
