EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-18 16:00:00-05:00,0.74,0.75,1.0
2021-05-06 16:00:00-04:00,1.36,1.44,5.97
2021-08-05 16:00:00-04:00,0.62,0.53,-14.7
2021-11-04 16:00:00-04:00,1.47,1.41,-4.35
2022-02-17 17:00:00-05:00,0.86,1.0,16.09
2022-05-05 16:00:00-04:00,1.48,1.47,-0.75
2022-08-04 16:00:00-04:00,0.59,0.64,9.08
2022-11-03 16:00:00-04:00,1.46,1.63,11.29
2023-02-16 16:00:00-05:00,0.8,0.81,1.39
2023-05-04 16:00:00-04:00,1.57,1.83,16.77
2023-08-03 16:00:00-04:00,0.67,0.61,-8.43
2023-11-02 16:00:00-04:00,1.59,1.62,1.96
2024-02-15 16:00:00-05:00,0.97,1.0,2.75
2024-05-02 16:00:00-04:00,1.9,2.15,13.38
2024-08-01 16:00:00-04:00,0.57,0.59,3.55
2024-11-07 16:00:00-05:00,1.58,1.68,6.27
2025-02-20 16:00:00-05:00,0.96,0.98,2.15
2025-05-01 16:00:00-04:00,2.21,2.26,2.42
2025-08-07 16:00:00-04:00,0.66,0.67,1.82
2025-11-06 16:00:00-05:00,1.75,1.9,8.28
