EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-25 16:00:00-05:00,0.59,1.08,82.75
2021-05-05 16:00:00-04:00,0.88,1.0,13.17
2021-08-04 16:00:00-04:00,0.64,0.68,6.11
2021-11-03 16:00:00-04:00,0.55,0.62,12.89
2022-02-24 16:00:00-05:00,0.77,1.11,44.25
2022-05-04 16:00:00-04:00,0.57,0.6,5.32
2022-07-27 16:00:00-04:00,0.32,0.51,57.22
2022-11-02 16:00:00-04:00,0.36,-7.62,-2222.56
2023-02-22 16:00:00-05:00,0.8,0.77,-4.31
2023-05-03 16:00:00-04:00,0.51,0.53,4.43
2023-08-02 16:00:00-04:00,0.43,0.45,3.52
2023-11-01 16:00:00-04:00,0.51,0.64,26.46
2024-02-21 16:00:00-05:00,0.78,0.62,-20.36
2024-05-01 16:00:00-04:00,0.49,0.48,-1.17
2024-07-31 16:00:00-04:00,0.46,0.41,-9.89
2024-10-30 16:00:00-04:00,0.53,0.45,-15.36
2025-02-19 07:00:00-05:00,0.94,1.03,9.64
2025-04-30 07:00:00-04:00,0.47,-0.49,-204.35
2025-07-30 07:00:00-04:00,0.49,0.25,-49.29
2025-10-29 07:00:00-04:00,0.52,0.63,21.12
