EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-20 06:00:00-05:00,0.17,0.17,2.93
2021-04-13 06:00:00-04:00,0.18,0.19,0.78
2021-07-13 06:00:00-04:00,0.21,0.21,1.25
2021-10-12 06:00:00-04:00,0.21,0.21,1.08
2022-01-19 06:00:00-05:00,0.19,0.2,7.23
2022-04-13 06:00:00-04:00,0.22,0.24,4.47
2022-07-13 06:00:00-04:00,0.25,0.25,1.05
2022-10-13 06:00:00-04:00,0.24,0.25,3.5
2023-01-19 06:00:00-05:00,0.21,0.22,2.65
2023-04-13 06:00:00-04:00,0.25,0.26,3.11
2023-07-13 06:00:00-04:00,0.26,0.26,-0.79
2023-10-12 06:00:00-04:00,0.25,0.26,3.49
2024-01-18 06:00:00-05:00,0.22,0.23,2.26
2024-04-11 06:00:00-04:00,0.26,0.26,-1.88
2024-07-12 06:00:00-04:00,0.25,0.26,0.15
2024-10-11 06:00:00-04:00,0.26,0.26,1.0
2025-01-17 06:00:00-05:00,0.24,0.23,-3.83
2025-04-11 06:00:00-04:00,0.26,0.26,0.05
2025-07-14 06:00:00-04:00,0.27,0.29,8.33
2025-10-13 06:00:00-04:00,0.3,0.29,-2.2
