EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-20 06:00:00-05:00,0.9,0.9,-0.2
2022-04-19 06:00:00-04:00,0.69,0.68,-1.99
2022-07-21 06:00:00-04:00,0.87,0.76,-13.01
2022-10-20 06:00:00-04:00,0.98,0.93,-4.88
2023-01-19 06:00:00-05:00,0.99,1.01,2.0
2023-04-20 06:00:00-04:00,0.79,0.78,-1.25
2023-07-20 06:00:00-04:00,0.83,0.82,-1.25
2023-10-19 06:00:00-04:00,0.82,0.91,10.47
2024-01-19 06:00:00-05:00,0.64,0.72,12.78
2024-04-19 06:00:00-04:00,0.68,0.7,2.9
2024-07-19 06:00:00-04:00,0.85,0.81,-4.37
2024-10-18 06:00:00-04:00,0.83,0.78,-5.78
2025-01-21 06:00:00-05:00,0.88,0.85,-3.01
2025-04-17 06:00:00-04:00,0.7,0.71,1.42
2025-07-17 06:00:00-04:00,0.87,0.88,1.47
2025-10-17 06:00:00-04:00,0.86,0.91,5.47
