EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-01 16:00:00-05:00,1.36,1.53,12.65
2022-04-26 16:00:00-04:00,1.29,1.23,-4.43
2022-07-26 16:00:00-04:00,1.27,1.21,-5.05
2022-10-25 16:00:00-04:00,1.25,1.06,-15.27
2023-02-02 16:00:00-05:00,1.19,1.05,-11.87
2023-04-25 16:00:00-04:00,1.07,1.17,9.52
2023-07-25 16:00:00-04:00,1.34,1.44,7.23
2023-10-24 16:00:00-04:00,1.45,1.55,6.74
2024-01-30 16:00:00-05:00,1.6,1.64,2.75
2024-04-25 16:00:00-04:00,1.51,1.89,24.98
2024-07-23 16:00:00-04:00,1.85,1.89,2.4
2024-10-29 16:00:00-04:00,1.85,2.12,14.83
2025-02-04 16:00:00-05:00,2.13,2.15,1.18
2025-04-24 16:00:00-04:00,2.01,2.81,40.1
2025-07-23 16:00:00-04:00,2.19,2.31,5.67
2025-10-29 16:00:00-04:00,2.26,2.87,26.88
