EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-01 16:00:00-05:00,1.36,1.53,12.52
2022-04-26 16:00:00-04:00,1.28,1.23,-3.67
2022-07-26 16:00:00-04:00,1.29,1.21,-6.05
2022-10-25 16:00:00-04:00,1.26,1.06,-16.01
2023-02-02 16:00:00-05:00,1.2,1.05,-12.33
2023-04-25 16:00:00-04:00,1.07,1.17,9.45
2023-07-25 16:00:00-04:00,1.34,1.44,7.29
2023-10-24 16:00:00-04:00,1.45,1.55,7.05
2024-01-30 16:00:00-05:00,1.6,1.64,2.53
2024-04-25 16:00:00-04:00,1.51,1.89,25.58
2024-07-23 16:00:00-04:00,1.84,1.89,2.54
2024-10-29 16:00:00-04:00,1.85,2.12,14.74
2025-02-04 16:00:00-05:00,2.13,2.15,1.18
2025-04-24 16:00:00-04:00,2.01,2.81,39.84
2025-07-23 16:00:00-04:00,2.2,2.31,5.09
2025-10-29 16:00:00-04:00,2.26,2.87,26.88
