EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-21 07:00:00-05:00,0.31,0.26,-16.19
2022-04-21 07:00:00-04:00,0.29,0.29,0.43
2022-07-21 07:00:00-04:00,0.33,0.35,4.57
2022-10-21 07:00:00-04:00,0.38,0.39,2.2
2023-01-20 07:00:00-05:00,0.41,0.42,3.56
2023-04-20 07:00:00-04:00,0.37,0.39,5.9
2023-07-21 07:00:00-04:00,0.34,0.35,4.21
2023-10-20 07:00:00-04:00,0.32,0.35,10.69
2024-01-19 06:00:00-05:00,0.17,0.15,-9.89
2024-04-19 06:00:00-04:00,0.24,0.26,8.02
2024-07-19 06:00:00-04:00,0.28,0.3,6.57
2024-10-17 07:00:00-04:00,0.3,0.33,10.36
2025-01-17 07:00:00-05:00,0.31,0.34,10.06
2025-04-17 07:00:00-04:00,0.31,0.34,8.48
2025-07-18 07:00:00-04:00,0.33,0.34,1.7
2025-10-17 07:00:00-04:00,0.38,0.41,9.05
