EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-22 06:00:00-05:00,3.18,3.21,0.87
2022-05-17 06:00:00-04:00,3.69,4.09,10.83
2022-08-16 06:00:00-04:00,4.93,5.05,2.36
2022-11-15 06:00:00-05:00,4.12,4.24,2.96
2023-02-21 06:00:00-05:00,3.29,3.3,0.4
2023-05-16 06:00:00-04:00,3.8,3.82,0.52
2023-08-15 06:00:00-04:00,4.44,4.65,4.68
2023-11-14 06:00:00-05:00,3.76,3.81,1.35
2024-02-20 06:00:00-05:00,2.77,2.82,1.63
2024-05-14 06:00:00-04:00,3.61,3.63,0.57
2024-08-13 06:00:00-04:00,4.55,4.6,1.16
2024-11-12 06:00:00-05:00,3.66,3.67,0.33
2025-02-25 06:00:00-05:00,3.04,3.02,-0.79
2025-05-20 06:00:00-04:00,3.59,3.56,-0.81
2025-08-19 06:00:00-04:00,4.69,4.68,-0.31
2025-11-18 08:00:00-05:00,3.66,,
