EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-27 07:00:00-05:00,-0.66,-0.58,11.94
2021-04-28 07:00:00-04:00,0.36,0.82,125.59
2021-07-28 07:00:00-04:00,0.19,0.24,27.97
2021-10-27 07:00:00-04:00,0.26,0.28,6.77
2022-01-26 07:00:00-05:00,0.73,0.85,16.71
2022-04-27 07:00:00-04:00,1.13,1.3,15.18
2022-07-27 07:00:00-04:00,2.15,2.15,0.23
2022-10-26 07:00:00-04:00,1.89,1.89,-0.07
2023-01-25 07:00:00-05:00,1.64,1.78,8.8
2023-04-26 07:00:00-04:00,1.03,1.13,10.04
2023-07-26 07:00:00-04:00,0.5,0.65,28.93
2023-10-25 07:00:00-04:00,1.25,1.64,31.58
2024-01-31 07:00:00-05:00,1.39,1.63,17.54
2024-04-25 07:00:00-04:00,1.73,3.16,82.95
2024-07-31 07:00:00-04:00,2.55,2.62,2.9
2024-10-30 07:00:00-04:00,1.77,2.14,20.7
2025-01-29 07:00:00-05:00,1.47,1.76,20.13
2025-04-30 07:00:00-04:00,1.61,1.81,12.54
2025-07-30 08:00:00-04:00,1.27,,
