EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-05 08:00:00-05:00,1.78,2.02,13.4
2021-04-30 08:00:00-04:00,1.9,2.11,11.14
2021-07-30 08:00:00-04:00,2.09,2.45,17.23
2021-10-28 08:00:00-04:00,2.01,2.02,0.39
2022-02-03 08:00:00-05:00,1.9,1.93,1.43
2022-05-03 08:00:00-04:00,2.07,2.11,1.91
2022-08-02 08:00:00-04:00,2.21,2.37,7.08
2022-10-25 08:00:00-04:00,2.25,2.35,4.26
2023-02-02 08:00:00-05:00,2.57,2.95,14.68
2023-05-02 08:00:00-04:00,2.22,2.33,4.79
2023-08-01 08:00:00-04:00,2.4,2.48,3.28
2023-10-24 08:00:00-04:00,2.45,2.55,4.11
2024-02-01 09:00:00-05:00,2.42,2.38,-1.61
2024-04-30 09:00:00-04:00,2.36,2.73,15.72
2024-07-30 08:00:00-04:00,2.47,2.54,2.68
2024-10-30 08:00:00-04:00,2.52,3.91,54.97
2025-02-05 08:00:00-05:00,2.49,2.54,1.86
2025-04-30 08:00:00-04:00,2.35,2.38,1.14
2025-07-30 08:00:00-04:00,2.57,2.58,0.52
2025-10-24 08:00:00-04:00,2.7,2.81,3.95
