EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-25 06:00:00-05:00,0.76,0.86,12.95
2022-04-26 06:00:00-04:00,0.62,0.56,-10.04
2022-07-27 06:00:00-04:00,0.5,0.39,-22.26
2022-10-25 06:00:00-04:00,0.41,0.34,-17.31
2023-01-24 06:00:00-05:00,0.36,0.39,7.27
2023-04-25 06:00:00-04:00,0.36,0.38,4.88
2023-07-25 06:00:00-04:00,0.4,0.31,-21.61
2023-10-24 06:00:00-04:00,0.35,0.35,-1.07
2024-01-23 07:00:00-05:00,0.4,0.47,18.69
2024-04-23 06:00:00-04:00,0.4,0.33,-17.45
2024-07-23 06:00:00-04:00,0.4,0.43,8.09
2024-10-22 06:00:00-04:00,0.43,0.44,1.76
2025-01-28 06:00:00-05:00,0.47,0.52,9.63
2025-04-22 06:00:00-04:00,0.39,0.44,13.91
2025-07-22 06:00:00-04:00,0.4,0.36,-10.7
2025-10-28 06:00:00-04:00,0.44,0.61,37.73
