EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-25 06:00:00-05:00,2.12,2.13,0.53
2022-04-19 06:00:00-04:00,2.57,2.67,4.08
2022-07-19 06:00:00-04:00,2.55,2.59,1.63
2022-10-18 06:00:00-04:00,2.49,2.55,2.6
2023-01-24 06:00:00-05:00,2.24,2.35,5.07
2023-04-18 06:00:00-04:00,2.5,2.68,7.17
2023-07-20 06:00:00-04:00,2.62,2.8,6.92
2023-10-17 06:00:00-04:00,2.52,2.66,5.54
2024-01-23 06:00:00-05:00,2.28,2.29,0.39
2024-04-16 06:00:00-04:00,2.65,2.71,2.26
2024-07-17 06:00:00-04:00,2.7,2.82,4.31
2024-10-15 06:00:00-04:00,2.21,2.42,9.71
2025-01-22 06:00:00-05:00,2.01,2.04,1.38
2025-04-15 06:00:00-04:00,2.58,2.77,7.38
2025-07-16 06:00:00-04:00,2.68,2.77,3.21
2025-10-14 06:00:00-04:00,2.76,2.8,1.49
