EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-10 08:00:00-05:00,0.79,0.83,5.54
2022-05-05 08:00:00-04:00,0.93,1.1,18.28
2022-08-04 16:00:00-04:00,1.05,1.18,12.21
2022-11-03 08:00:00-04:00,0.98,1.01,3.14
2023-02-09 08:00:00-05:00,0.85,0.94,11.23
2023-05-04 08:00:00-04:00,1.0,1.1,10.39
2023-08-03 08:00:00-04:00,1.11,1.25,13.08
2023-11-08 08:00:00-05:00,0.92,1.03,11.62
2024-02-08 08:00:00-05:00,0.74,0.78,5.11
2024-05-02 08:00:00-04:00,0.85,1.01,18.18
2024-08-01 08:00:00-04:00,0.9,1.01,12.36
2024-10-31 08:00:00-04:00,0.85,0.91,7.04
2025-02-06 08:00:00-05:00,0.83,0.92,10.66
2025-05-01 08:00:00-04:00,1.01,0.9,-10.83
2025-07-31 08:00:00-04:00,0.99,0.94,-5.42
2025-10-30 08:00:00-04:00,0.87,0.94,8.49
