EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-16 16:00:00-04:00,2.58,2.7,4.83
2022-06-21 06:00:00-04:00,3.95,4.69,18.63
2022-09-21 16:00:00-04:00,4.86,5.18,6.48
2022-12-14 17:00:00-05:00,4.9,5.02,2.43
2023-03-14 16:00:00-04:00,1.55,2.12,37.04
2023-06-14 16:00:00-04:00,2.32,2.94,26.91
2023-09-13 22:00:00-04:00,3.53,3.91,10.71
2023-12-14 16:00:00-05:00,4.6,5.17,12.4
2024-03-13 16:00:00-04:00,2.22,2.61,17.57
2024-06-17 16:00:00-04:00,3.23,3.38,4.74
2024-09-19 16:00:00-04:00,3.62,3.9,7.73
2024-12-18 16:00:00-05:00,4.12,4.03,-2.29
2025-03-20 17:00:00-04:00,1.71,2.14,24.86
2025-06-16 17:00:00-04:00,1.94,1.9,-1.96
2025-09-18 17:00:00-04:00,2.09,2.0,-4.52
2025-12-17 16:00:00-05:00,2.2,,
