EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-03 06:00:00-05:00,2.51,2.49,-0.67
2022-04-28 06:00:00-04:00,2.29,2.62,14.43
2022-08-04 06:00:00-04:00,1.7,1.25,-26.31
2022-11-01 06:00:00-04:00,1.94,1.98,2.07
2023-02-02 06:00:00-05:00,1.83,2.09,14.11
2023-04-27 06:00:00-04:00,1.73,1.62,-6.33
2023-08-08 06:00:00-04:00,1.99,2.11,5.92
2023-11-02 06:00:00-04:00,-0.12,0.1,181.53
2024-02-06 06:00:00-05:00,2.37,2.49,5.14
2024-04-30 06:00:00-04:00,2.49,2.58,3.67
2024-08-08 07:00:00-04:00,2.77,3.92,41.68
2024-10-30 06:00:00-04:00,1.47,1.18,-19.52
2025-02-06 06:00:00-05:00,5.01,4.88,-2.59
2025-05-01 06:00:00-04:00,3.54,3.34,-5.73
2025-08-07 06:00:00-04:00,5.59,6.31,12.89
2025-10-30 06:00:00-04:00,5.89,7.02,19.15
