EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-23 06:00:00-05:00,1.69,1.78,5.23
2022-05-18 06:00:00-04:00,3.23,3.51,8.67
2022-08-17 06:00:00-04:00,4.59,4.67,1.73
2022-11-16 06:00:00-05:00,3.09,3.27,5.74
2023-03-01 06:00:00-05:00,2.21,2.28,2.94
2023-05-23 06:00:00-04:00,3.45,3.67,6.51
2023-08-22 06:00:00-04:00,4.48,4.56,1.79
2023-11-21 06:00:00-05:00,3.03,3.06,0.94
2024-02-27 06:00:00-05:00,1.68,1.77,5.25
2024-05-21 06:00:00-04:00,2.95,3.06,3.64
2024-08-20 06:00:00-04:00,4.0,4.1,2.58
2024-11-19 06:00:00-05:00,2.81,2.89,2.77
2025-02-26 06:00:00-05:00,1.84,1.93,4.84
2025-05-21 06:00:00-04:00,2.88,2.92,1.4
2025-08-20 06:00:00-04:00,4.24,4.33,2.18
2025-11-19 08:00:00-05:00,2.81,,
