EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-27 06:00:00-05:00,0.07,0.14,106.43
2022-04-28 06:00:00-04:00,-0.3,-0.32,-5.5
2022-07-28 06:00:00-04:00,1.18,1.3,10.29
2022-10-27 06:00:00-04:00,0.42,0.5,18.07
2023-01-26 06:00:00-05:00,-0.11,-0.38,-242.06
2023-04-27 06:00:00-04:00,-0.23,-0.27,-18.45
2023-07-27 06:00:00-04:00,1.1,1.09,-1.08
2023-10-26 06:00:00-04:00,0.39,0.38,-3.12
2024-01-25 06:00:00-05:00,0.13,0.37,176.61
2024-04-25 06:00:00-04:00,-0.34,-0.36,-7.06
2024-07-25 06:00:00-04:00,0.51,0.58,14.66
2024-10-24 06:00:00-04:00,0.04,0.15,237.76
2025-01-30 06:00:00-05:00,0.46,0.56,21.53
2025-04-23 16:00:00-04:00,-0.19,-0.13,32.18
2025-07-23 16:00:00-04:00,0.51,0.43,-16.17
2025-10-22 16:00:00-04:00,-0.03,0.1,433.33
