EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-15 07:00:00-05:00,1.0,1.3,30.18
2022-05-04 07:00:00-04:00,0.92,1.25,35.84
2022-08-02 07:00:00-04:00,1.57,1.8,14.43
2022-11-03 06:00:00-04:00,1.68,1.69,0.7
2023-02-14 07:00:00-05:00,1.82,1.96,7.48
2023-05-02 07:00:00-04:00,1.85,2.09,13.13
2023-08-01 07:00:00-04:00,2.17,2.26,3.97
2023-11-02 06:00:00-04:00,2.1,2.11,0.34
2024-02-13 07:00:00-05:00,2.12,3.57,68.19
2024-05-01 07:00:00-04:00,2.16,2.13,-1.6
2024-07-31 07:00:00-04:00,2.48,2.5,0.99
2024-11-04 07:00:00-05:00,2.31,2.26,-2.05
2025-02-11 07:00:00-05:00,2.38,2.45,2.74
2025-05-06 07:00:00-04:00,2.25,2.32,2.96
2025-08-05 07:00:00-04:00,2.62,2.65,1.06
2025-11-04 07:00:00-05:00,2.39,2.47,3.46
