EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-02 16:00:00-05:00,3.83,3.67,-4.06
2022-04-27 16:00:00-04:00,2.53,2.72,7.57
2022-07-27 16:00:00-04:00,2.55,2.46,-3.38
2022-10-26 16:00:00-04:00,1.86,1.64,-12.06
2023-02-01 16:00:00-05:00,2.23,1.76,-21.14
2023-04-26 16:00:00-04:00,1.98,2.2,11.2
2023-07-26 16:00:00-04:00,2.91,2.98,2.51
2023-10-25 16:00:00-04:00,3.63,4.39,20.9
2024-02-01 16:00:00-05:00,4.94,5.33,7.88
2024-04-24 16:00:00-04:00,4.32,4.71,8.92
2024-07-31 16:00:00-04:00,4.76,5.16,8.45
2024-10-30 16:00:00-04:00,5.29,6.03,13.94
2025-01-29 16:00:00-05:00,6.74,8.02,19.0
2025-04-30 16:00:00-04:00,5.22,6.43,23.11
2025-07-30 16:00:00-04:00,5.86,7.14,21.82
2025-10-29 16:00:00-04:00,6.71,1.05,-84.34
