EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-03 16:00:00-05:00,1.51,2.03,34.69
2021-05-05 16:00:00-04:00,1.52,2.2,44.47
2021-08-04 16:00:00-04:00,1.66,2.3,38.36
2021-11-03 16:00:00-04:00,1.71,2.39,39.58
2022-02-02 16:00:00-05:00,1.46,2.17,48.27
2022-05-04 16:00:00-04:00,1.63,2.08,27.98
2022-08-03 16:00:00-04:00,1.48,2.0,35.48
2022-11-02 16:00:00-04:00,1.17,1.21,3.17
2023-02-01 16:00:00-05:00,1.64,1.55,-5.72
2023-05-03 16:00:00-04:00,1.84,1.52,-17.55
2023-08-02 16:00:00-04:00,1.88,1.94,3.11
2023-11-01 16:00:00-04:00,1.96,1.97,0.38
2024-01-31 16:00:00-05:00,1.91,1.83,-3.94
2024-05-01 16:00:00-04:00,1.82,1.83,0.6
2024-07-31 16:00:00-04:00,2.11,2.28,8.12
2024-10-30 17:00:00-04:00,2.18,1.95,-10.7
2025-02-05 16:00:00-05:00,2.09,2.09,-0.16
2025-04-30 16:00:00-04:00,2.01,1.96,-2.45
2025-08-06 16:00:00-04:00,2.16,2.02,-6.69
2025-11-05 16:00:00-05:00,2.32,2.37,2.16
