EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-02 06:00:00-05:00,-1.24,-0.94,24.35
2021-05-04 06:00:00-04:00,-0.71,-0.2,71.74
2021-08-04 06:00:00-04:00,0.38,0.67,76.07
2021-11-02 06:00:00-04:00,0.7,0.73,4.06
2022-02-02 06:00:00-05:00,0.56,1.3,131.38
2022-05-03 06:00:00-04:00,1.28,1.45,13.58
2022-08-02 06:00:00-04:00,8.5,10.61,24.89
2022-11-01 06:00:00-04:00,7.02,7.81,11.21
2023-01-31 06:00:00-05:00,5.63,6.65,18.14
2023-05-02 06:00:00-04:00,5.6,6.09,8.66
2023-08-01 06:00:00-04:00,4.59,5.32,15.98
2023-10-31 06:00:00-04:00,7.75,8.14,5.06
2024-01-30 06:00:00-05:00,2.22,3.98,79.18
2024-04-30 06:00:00-04:00,2.58,2.58,-0.15
2024-08-06 06:00:00-04:00,3.09,4.12,33.32
2024-11-05 06:00:00-05:00,1.28,1.87,46.09
2025-02-04 06:00:00-05:00,0.02,0.77,3730.85
2025-05-06 06:00:00-04:00,-0.54,-0.24,55.91
2025-08-05 06:00:00-04:00,3.22,3.96,22.98
2025-11-04 06:00:00-05:00,3.16,3.01,-4.86
