EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-02-22 16:00:00-05:00,-0.2,-0.12,40.62
2021-05-05 16:00:00-04:00,0.12,0.21,68.08
2021-08-04 16:00:00-04:00,0.18,0.22,23.36
2021-11-03 16:00:00-04:00,0.31,0.39,26.36
2022-02-16 16:00:00-05:00,0.56,0.77,38.34
2022-05-04 16:00:00-04:00,0.97,1.02,5.36
2022-08-03 16:00:00-04:00,1.28,1.32,3.36
2022-11-02 16:00:00-04:00,1.18,1.24,5.5
2023-02-15 16:00:00-05:00,0.85,0.88,3.3
2023-05-03 16:00:00-04:00,0.58,0.67,16.09
2023-08-02 16:00:00-04:00,0.47,0.48,2.98
2023-11-01 16:00:00-04:00,0.69,0.77,12.22
2024-02-21 16:00:00-05:00,0.66,0.69,5.18
2024-05-01 16:00:00-04:00,0.54,0.55,0.96
2024-08-07 16:00:00-04:00,0.7,0.63,-9.56
2024-11-06 16:00:00-05:00,0.64,0.64,0.77
