EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-25 16:00:00-05:00,2.32,2.48,7.05
2022-04-26 16:00:00-04:00,2.19,2.22,1.24
2022-07-26 16:00:00-04:00,2.3,2.23,-2.85
2022-10-25 16:00:00-04:00,2.29,2.35,2.41
2023-01-24 16:00:00-05:00,2.27,2.2,-3.17
2023-04-25 16:00:00-04:00,2.24,2.45,9.52
2023-07-25 16:00:00-04:00,2.55,2.69,5.45
2023-10-24 16:00:00-04:00,2.65,2.99,12.93
2024-01-30 16:00:00-05:00,2.77,2.93,5.95
2024-04-25 16:00:00-04:00,2.83,2.94,3.99
2024-07-30 16:00:00-04:00,2.94,2.95,0.23
2024-10-30 16:00:00-04:00,3.11,3.3,6.25
2025-01-29 16:00:00-05:00,3.1,3.23,4.06
2025-04-30 16:00:00-04:00,3.22,3.46,7.59
2025-07-30 16:00:00-04:00,3.38,3.65,8.01
2025-10-29 16:00:00-04:00,3.66,3.72,1.59
