EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-20 06:00:00-05:00,3.26,3.49,6.96
2022-04-20 06:00:00-04:00,2.34,2.73,16.72
2022-07-20 06:00:00-04:00,3.15,3.12,-0.93
2022-10-19 06:00:00-04:00,4.26,3.77,-11.5
2023-01-19 06:00:00-05:00,4.44,4.51,1.5
2023-04-17 06:00:00-04:00,3.96,4.01,1.24
2023-07-19 06:00:00-04:00,4.03,4.11,1.9
2023-10-18 06:00:00-04:00,3.92,3.98,1.49
2024-01-18 06:00:00-05:00,3.67,3.6,-1.84
2024-04-15 06:00:00-04:00,3.12,3.01,-3.54
2024-07-18 05:00:00-04:00,3.49,3.79,8.59
2024-10-17 05:00:00-04:00,3.62,4.03,11.45
2025-01-16 05:00:00-05:00,3.74,3.77,0.97
2025-04-14 06:00:00-04:00,3.4,3.32,-2.26
2025-07-16 05:00:00-04:00,4.01,4.24,5.7
2025-10-16 05:00:00-04:00,4.39,4.81,9.59
