EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-24 07:00:00-05:00,-1.61,-1.95,-20.87
2022-05-10 07:00:00-04:00,-1.41,-1.82,-29.4
2022-08-09 07:00:00-04:00,-0.83,-1.14,-36.78
2022-11-08 07:00:00-05:00,-0.69,-0.64,7.12
2023-02-28 07:00:00-05:00,-0.84,-1.04,-24.0
2023-05-01 07:00:00-04:00,-0.43,-0.3,29.46
2023-08-01 07:00:00-04:00,0.26,0.3,13.23
2023-11-01 07:00:00-04:00,0.68,0.76,11.15
2024-02-27 07:00:00-05:00,-0.13,-0.18,-33.33
2024-05-01 07:00:00-04:00,0.09,0.16,79.01
2024-07-31 07:00:00-04:00,0.34,0.4,16.74
2024-10-31 07:00:00-04:00,0.94,0.99,5.28
2025-02-27 06:00:00-05:00,0.11,0.26,142.88
2025-04-30 06:00:00-04:00,0.09,0.07,-22.93
2025-07-31 07:00:00-04:00,0.52,0.51,-1.09
2025-11-04 06:00:00-05:00,1.16,1.2,3.31
