EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-19 16:00:00-05:00,0.14,0.12,-14.55
2021-04-20 16:00:00-04:00,0.3,0.38,25.48
2021-07-20 16:00:00-04:00,0.32,0.3,-5.91
2021-10-19 16:00:00-04:00,0.26,0.32,24.49
2022-01-20 16:00:00-05:00,0.08,0.13,59.66
2022-04-19 16:00:00-04:00,0.29,0.35,21.17
2022-07-19 16:00:00-04:00,0.29,0.32,9.04
2022-10-18 16:00:00-04:00,0.21,0.31,45.21
2023-01-19 16:00:00-05:00,0.05,0.01,-75.18
2023-04-18 16:00:00-04:00,0.29,0.29,0.61
2023-07-19 16:00:00-04:00,0.29,0.33,15.36
2023-10-18 16:00:00-04:00,0.35,0.37,7.07
2024-01-23 16:00:00-05:00,0.22,0.21,-5.47
2024-04-18 16:00:00-04:00,0.45,0.53,16.66
2024-07-18 16:00:00-04:00,0.47,0.49,2.92
2024-10-17 16:00:00-04:00,0.51,0.54,5.56
2025-01-21 16:00:00-05:00,0.42,0.43,1.41
2025-04-17 16:00:00-04:00,0.57,0.66,16.82
2025-07-17 16:00:00-04:00,0.7,0.72,2.24
2025-10-21 16:00:00-04:00,0.7,0.59,-15.79
