EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-03-21 16:00:00-04:00,0.72,0.87,21.41
2022-06-27 16:00:00-04:00,0.81,1.0,22.99
2022-09-29 16:00:00-04:00,0.92,0.93,0.93
2022-12-20 16:00:00-05:00,0.64,0.85,33.05
2023-03-21 16:00:00-04:00,0.54,0.79,46.31
2023-06-29 16:00:00-04:00,0.68,0.66,-2.29
2023-09-28 16:00:00-04:00,0.76,0.94,24.44
2023-12-21 16:00:00-05:00,0.85,1.03,21.8
2024-03-21 16:00:00-04:00,0.71,0.77,7.98
2024-06-27 16:00:00-04:00,0.83,0.99,19.3
2024-10-01 16:00:00-04:00,0.52,0.7,34.9
2024-12-19 16:00:00-05:00,0.63,0.78,23.3
2025-03-20 16:00:00-04:00,0.28,0.54,94.87
2025-06-26 16:00:00-04:00,0.12,0.14,13.48
2025-09-30 16:00:00-04:00,0.27,0.49,84.49
2025-12-18 16:00:00-05:00,0.37,,
