EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2021-01-27 16:00:00-05:00,1.06,1.17,10.6
2021-04-28 16:00:00-04:00,1.35,1.52,12.85
2021-07-28 16:00:00-04:00,1.21,1.42,17.53
2021-10-27 16:00:00-04:00,1.39,1.55,11.55
2022-01-26 16:00:00-05:00,1.43,1.46,2.12
2022-04-27 16:00:00-04:00,1.7,1.73,2.03
2022-07-27 16:00:00-04:00,1.55,1.62,4.46
2022-10-26 16:00:00-04:00,1.85,1.96,6.14
2023-01-25 16:00:00-05:00,2.02,2.28,12.62
2023-04-26 16:00:00-04:00,2.04,2.37,16.36
2023-07-26 16:00:00-04:00,2.05,2.37,15.81
2023-10-25 16:00:00-04:00,2.55,2.92,14.55
2024-01-24 16:00:00-05:00,2.78,3.11,11.94
2024-04-24 16:00:00-04:00,3.13,3.41,8.87
2024-07-24 16:00:00-04:00,2.83,3.13,10.44
2024-10-23 16:00:00-04:00,3.45,3.72,7.78
2025-01-29 16:00:00-05:00,3.66,3.67,0.2
2025-04-23 16:00:00-04:00,3.83,4.04,5.36
2025-07-23 16:00:00-04:00,3.57,4.09,14.63
2025-10-29 16:00:00-04:00,4.27,4.82,13.0
