EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-01-20 07:00:00-05:00,1.81,1.91,5.59
2022-04-26 07:00:00-04:00,1.64,1.77,7.94
2022-07-20 07:00:00-04:00,1.93,1.86,-3.41
2022-10-19 07:00:00-04:00,1.85,1.8,-2.5
2023-01-19 07:00:00-05:00,1.79,0.71,-60.38
2023-04-25 07:00:00-04:00,1.51,1.51,0.13
2023-07-19 07:00:00-04:00,1.61,1.56,-3.17
2023-10-18 07:00:00-04:00,1.49,1.49,-0.16
2024-01-18 06:00:00-05:00,0.91,0.52,-42.86
2024-04-16 07:00:00-04:00,1.06,0.96,-9.82
2024-07-17 07:00:00-04:00,1.73,4.34,150.96
2024-10-23 07:00:00-04:00,1.93,2.22,15.08
2025-01-23 07:00:00-05:00,2.0,2.26,12.77
2025-04-22 07:00:00-04:00,1.84,1.9,3.12
2025-07-23 07:00:00-04:00,2.04,2.13,4.25
2025-10-22 07:00:00-04:00,2.24,2.29,2.16
