EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-16 16:00:00-05:00,0.12,0.13,7.97
2022-05-25 16:00:00-04:00,0.13,0.14,4.86
2022-08-24 16:00:00-04:00,0.05,0.05,-1.49
2022-11-16 16:00:00-05:00,0.07,0.06,-17.32
2023-02-22 16:00:00-05:00,0.08,0.09,9.45
2023-05-24 16:00:00-04:00,0.09,0.11,18.8
2023-08-23 16:00:00-04:00,0.21,0.27,29.35
2023-11-21 16:00:00-05:00,0.34,0.4,18.73
2024-02-21 16:00:00-05:00,0.46,0.52,11.4
2024-05-22 16:00:00-04:00,0.56,0.61,9.74
2024-08-28 16:00:00-04:00,0.64,0.68,5.66
2024-11-20 16:00:00-05:00,0.75,0.81,8.52
2025-02-26 16:00:00-05:00,0.85,0.89,5.25
2025-05-28 16:00:00-04:00,0.75,0.81,8.02
2025-08-27 16:00:00-04:00,1.01,1.05,4.1
2025-11-19 16:00:00-05:00,1.25,,
