EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2022-02-01 09:00:00-05:00,99.77,89.09,-10.7
2022-04-26 09:00:00-04:00,96.94,116.56,20.23
2022-07-26 09:00:00-04:00,126.82,123.65,-2.5
2022-10-25 09:00:00-04:00,121.71,118.51,-2.63
2023-01-31 09:00:00-05:00,98.88,133.44,34.95
2023-04-25 09:00:00-04:00,88.96,99.89,12.28
2023-07-25 09:00:00-04:00,101.5,116.54,14.82
2023-10-24 09:00:00-04:00,115.6,125.26,8.35
2024-01-30 09:00:00-05:00,121.5,121.56,0.05
2024-04-23 09:00:00-04:00,103.97,116.41,11.97
2024-07-23 10:00:00-04:00,121.21,120.69,-0.43
2024-10-22 09:00:00-04:00,131.0,130.5,-0.38
2025-01-28 09:00:00-05:00,129.35,139.93,8.18
2025-04-22 09:00:00-04:00,106.07,94.83,-10.6
2025-07-23 10:00:00-04:00,106.2,108.54,2.2
2025-10-22 09:00:00-04:00,109.36,112.33,2.72
